severity,Cy,Cx,Area,intensity,Duration
-1724423.277552405,126.1621163321429,45.12298230956929,1009535.1478784408,-0.5733927032546235,7
-506742.92551622004,104.74209060607849,35.39724347471032,582013.8865631965,-0.4269612133496922,4
-1450276.8774381035,86.01109636696546,31.061171987140163,864707.0798784163,-0.5729374630790942,5
-2538901.019011953,91.35101051079891,30.160084883074553,1652379.9779030564,-0.5954051782883004,6
-5647526.086761975,89.760144378844,34.09099104131996,2372305.1700757495,-0.5572389844124394,15
-386649.1819610903,86.31456576084759,30.538088746826663,717334.3694753677,-0.33044042502472565,3
-238015.8312151886,124.62929695878435,48.13843756767779,308848.5132640237,-0.36754721221641334,3
-741206.9256110912,95.98308776016385,38.56990641894314,990569.3921251545,-0.38014659893423225,3
-4082889.960208835,96.54111091452839,33.28136680692102,3095394.336922151,-0.46524520364265853,11
-229246.1389704786,121.90189810374969,51.255135802177094,245630.74733807368,-0.41401000363106605,3
-810005.5586069657,103.91559434823942,26.04921077682515,946326.3396342937,-0.4955931353097592,4
-3378387.922968849,88.58378311340338,33.040196093499056,2189784.0737807904,-0.4865500529900439,10
-936054.0758544257,103.57231766739055,37.5053261414769,1542464.3618373955,-0.38873693469860815,3
-336375.1628629851,87.26404507799762,32.24535119447612,784079.9499073192,-0.24219727513075207,3
-1519063.505825531,116.73172080997342,36.25229883226935,2140913.731961715,-0.5012361654104487,4
-604564.7022526588,124.01604078135921,43.12816466651084,990424.1166925787,-0.35491144958487647,4
-816377.5660358552,85.21568033812505,31.704377398274822,797032.6097343572,-0.381113006843879,6
-269695.38129749545,108.35280003552766,24.420060058228433,602908.4255793376,-0.26993067982387864,3
-295846.77236783976,97.67849795665971,35.656292264275386,497126.5241828957,-0.36397681089933065,3
-539585.7577548049,107.44204847420946,26.69600759609131,942214.9541223961,-0.3328444249280114,3
-848844.809953178,90.14205541347262,38.64334218895638,1194074.3144896165,-0.36454460373780084,6
-473599.5645100345,126.48620358092123,47.768964639956515,496064.8590603755,-0.4213217378673059,4
-835770.2944980613,113.50607575480251,25.531596100165835,914852.4122380001,-0.4205640755089856,5
-342592.23262992746,80.8817591804873,32.546465309800006,325304.48700301436,-0.5107684712264197,3
-1531841.6704227184,103.83875435303499,37.22359470620389,1693918.622630139,-0.47967265387790287,4
-202293.2224114936,85.18243373941081,44.40204984436097,307423.66605275223,-0.3506409226240348,3
-310326.24361987616,127.59756551113392,46.574494326745345,806599.2003422413,-0.2872669845289493,3
-290367.8259557416,90.91277795811607,29.54836245369831,501068.4545427909,-0.3209675284547918,3
-616767.8997293013,108.1963446550372,25.220926767068644,974416.7155878885,-0.3219744110219469,4
-967466.3619523643,83.60896535913733,31.527141112052472,587348.5842938521,-0.523065474435692,5
-572685.4495820823,87.83439631592317,34.009114530495225,1108668.9698355815,-0.3320301275495406,3
-445066.6318707992,103.14913873422682,25.24602069570933,609342.8577089132,-0.4083297403879639,3
-443119.91403966397,116.19671614079296,42.24800603824981,972069.3249049003,-0.270320549039387,3
-3836037.2230351917,92.32425417723798,32.228924991029444,2280264.564494112,-0.5261675597416411,6
-302525.9835999729,85.9862073562495,45.55027941490822,383546.2024751263,-0.38332597230984733,3
-2343457.7193826525,95.2581759461181,34.86618701886315,2698768.9363536793,-0.4699078408560077,6
-360871.5003063733,116.86846799270153,26.96736101913287,554211.9502738164,-0.34537061760689,4
-185828.60439442287,88.11949878004344,44.737307228682745,333694.607099437,-0.3049707642714338,3
-1938766.29323247,121.70932231588905,43.182494254445444,2495362.6916808137,-0.40573708761618854,5
-303474.9413911218,115.77040108397824,26.004788352087925,605082.474345554,-0.319899580970061,3
-2903987.1491206884,90.23207836421832,41.3532559469846,2378975.3497373834,-0.49333581294658335,6
-4165780.862461627,111.06593999860402,36.817904664630234,3085359.97912582,-0.5143933764218676,7
-1127080.7232175171,87.4625989131384,45.46339510546274,586317.5113846565,-0.8568830241686953,3
-1701956.7044703707,124.68585465695936,46.565412981130535,1234433.6913613053,-0.43923826896924145,5
-10340335.945384916,105.93350302082625,35.27671068987734,5751677.563661997,-0.6565433004257688,9
-992202.625888834,94.44167588878425,29.4801562669222,1477790.3048024331,-0.5349207832556565,3
-571499.731563344,122.40693526413465,46.72515610348336,884312.1299408564,-0.32152657189273887,6
-419829.1173170455,114.76201432397121,38.604495981803346,836077.2181219886,-0.3558549251890718,3
